scenario,system,failure_inject_phi,partition,n_trials,stale_rate,stale_ci_lo,stale_ci_hi,availability,avail_ci_lo,avail_ci_hi,failure_rate,percentile_basis,messages_mean,mlat_p50,mlat_p99,i_occupancy,neutro_bool_disagree,status
S1,lww-crdt,0.3,none,250,0.301698176,0.29830021489999997,0.30515663069999993,0.993773324,0.9932133476000001,0.9943333484000001,0.006226676,all,5.0,2.6306844000000003,6.325296000000001,0.45441866000000003,0.662826636,validated
S1,lww-crdt,0.3,transient,250,0.284545556,0.2811370613,0.2878834214,0.973040004,0.9719063157000001,0.9742000001000001,0.026959995999999996,all,5.0,2.45053,6.1568704,0.454306656,0.6420666759999999,validated
S1,naive-cache,0.0,none,250,0.386946664,0.38343929800000004,0.39033334420000004,1.0,1.0,1.0,0.0,all,0.0,0.2,0.2,0.45459733599999996,0.58017332,validated
S1,naive-cache,0.0,transient,250,0.38902664000000003,0.3855733239,0.3925332853,1.0,1.0,1.0,0.0,all,0.0,0.2,0.2,0.45585065199999997,0.5755600000000001,validated
S1,naive-cache,0.1,none,250,0.385853348,0.3822133437,0.3896003807,1.0,1.0,1.0,0.0,all,0.0,0.2,0.2,0.454722676,0.6389733160000001,validated
S1,naive-cache,0.1,transient,250,0.387893332,0.38434666330000006,0.3914403446,1.0,1.0,1.0,0.0,all,0.0,0.2,0.2,0.45523466,0.62748,validated
S1,naive-cache,0.2,none,250,0.390346664,0.3867733434,0.3939336926,1.0,1.0,1.0,0.0,all,0.0,0.2,0.2,0.45462402400000007,0.6576533159999999,validated
S1,naive-cache,0.2,transient,250,0.38786664,0.38446664399999997,0.39119998,1.0,1.0,1.0,0.0,all,0.0,0.2,0.2,0.45485865999999997,0.648680028,validated
S1,naive-cache,0.3,none,250,0.38837332799999996,0.3848930103,0.3916399882,1.0,1.0,1.0,0.0,all,0.0,0.2,0.2,0.45441866000000003,0.662826636,validated
S1,naive-cache,0.3,transient,250,0.387213324,0.3838526386,0.39058666420000004,1.0,1.0,1.0,0.0,all,0.0,0.2,0.2,0.454306656,0.6420666759999999,validated
S1,neutro-aczel_alsina-g,0.0,none,250,0.124186672,0.12181333570000001,0.1267199963,1.0,1.0,1.0,0.0,all,5.0,2.9271424,6.6260988,0.45459733599999996,0.58017332,validated
S1,neutro-aczel_alsina-g,0.0,transient,250,0.155978788,0.15339600760000002,0.15851049380000004,0.999626704,0.999493384,0.9997466920000002,0.000373296,all,5.0,2.7351084,6.3655536,0.45585065199999997,0.5755600000000001,validated
S1,neutro-aczel_alsina-g,0.1,none,250,0.13665303599999998,0.1342480236,0.13906026900000001,0.9998933440000001,0.9998133520000001,0.9999600040000001,0.000106656,all,5.0,2.8449768000000004,6.5880064,0.454722676,0.6389733160000001,validated
S1,neutro-aczel_alsina-g,0.1,transient,250,0.17085314399999998,0.1680387303,0.17371094569999998,0.997200072,0.9968000798,0.997600072,0.0027999280000000006,all,5.0,2.6451567999999996,6.271206,0.45523466,0.62748,validated
S1,neutro-aczel_alsina-g,0.2,none,250,0.15531754,0.15285329390000002,0.15775337089999997,0.998640064,0.9983733920000001,0.9988934,0.001359936,all,5.0,2.7433471999999997,6.481273600000001,0.45462402400000007,0.6576533159999999,validated
S1,neutro-aczel_alsina-g,0.2,transient,250,0.18933488399999998,0.18664592789999998,0.1919975383,0.9880400200000001,0.987240012,0.9888400321,0.011959980000000002,all,5.0,2.5540240000000005,6.2450416,0.45485865999999997,0.648680028,validated
